design,domain,datatype,n_inputs,mode,trials_passed,max_abs_err,max_rel_err,n_mismatch,n_total,prepare_s,trial0_s,mean_trial_s,total_s,notes
conv__grouped_bias0,conv,float,100,full,100,2.09808e-05,0.287551,0,12544,0.12,10.086,9.227,932.717,
conv__grouped_bias1,conv,float,100,full,100,1.90735e-05,208616,0,12544,0.11,10.173,9.239,935.211,
matrix_add,conv,float,100,full,100,0,0,0,2048,0.03,10.044,9.234,925.54,
maxpool,conv,float,100,full,100,0,0,0,512,0.03,10.076,9.222,923.919,
activation__elu,gemm,float,100,full,100,1.19209e-07,0.000118977,0,512,0.04,10.257,9.307,932.844,
activation__gelu,gemm,float,100,full,100,4.76837e-07,0.999994,0,512,0.03,10.138,9.263,928.748,
activation__leaky_relu,gemm,float,100,full,100,0,0,0,512,0.02,10.114,9.218,923.34,
activation__prelu,gemm,float,100,full,100,0,0,0,512,0.02,10.146,9.207,922.409,
activation__relu,gemm,float,100,full,100,0,0,0,512,0.03,10.067,9.236,924.864,
activation__relu6,gemm,float,100,full,100,0,0,0,512,0.03,9.965,9.226,923.685,
activation__rrelu,gemm,float,100,full,100,0,0,0,512,0.03,10.143,9.223,924.096,
activation__selu,gemm,float,100,full,100,2.38419e-07,0.000119023,0,512,0.02,10.192,9.283,930.503,
activation__sigmoid,gemm,float,100,full,100,1.19209e-07,2.62154e-07,0,512,0.02,10.225,9.314,934.029,
activation__softmax,gemm,float,100,full,100,1.78814e-07,5.71677e-07,0,512,0.03,10.196,9.307,933.519,
activation__swish,gemm,float,100,full,100,9.53674e-07,2.82222e-07,0,512,0.02,10.071,9.319,933.069,
activation__tanh,gemm,float,100,full,100,1.19209e-07,2.28809e-07,0,512,0.03,10.251,9.256,928.535,
activation__thresholded_relu,gemm,float,100,full,100,0,0,0,512,0.02,10.335,9.213,923.416,
dot_product__bias0,gemm,float,100,full,100,1.43051e-06,2.0657e-05,0,1,0.03,10.177,9.252,928.186,
dot_product__bias1,gemm,float,100,full,100,1.43051e-06,1.09097e-05,0,1,0.03,10.215,9.238,925.566,
gemm__bias0,gemm,float,100,full,100,1.90735e-06,0.0182349,0,512,0.03,10.334,9.226,925.299,
gemm__bias1,gemm,float,100,full,100,3.8147e-06,0.0025436,0,512,0.03,9.969,9.266,929.003,
mmv__bias0,gemm,float,100,full,100,1.90735e-06,0.000119832,0,16,0.03,10.127,9.25,927.078,
mmv__bias1,gemm,float,100,full,100,2.38419e-06,0.000318098,0,16,0.03,10.213,9.276,929.618,
vmm__bias0,gemm,float,100,full,100,7.15256e-07,2.26221e-05,0,16,0.03,10.079,9.248,926.766,
vmm__bias1,gemm,float,100,full,100,7.15256e-07,0.000248583,0,16,0.03,10.026,9.227,923.965,
activation__elu,llm,float,100,full,100,1.19209e-07,0.000137476,0,1024,0.03,10.144,9.296,931.554,
activation__gelu,llm,float,100,full,100,4.76837e-07,0.999994,0,1024,0.03,10.228,9.266,929.263,
activation__leaky_relu,llm,float,100,full,100,0,0,0,1024,0.03,10.239,9.199,922.623,
activation__prelu,llm,float,100,full,100,0,0,0,1024,0.03,10.166,9.243,925.99,
activation__relu,llm,float,100,full,100,0,0,0,1024,0.03,8.905,8.86,887.238,
activation__relu6,llm,float,100,full,100,0,0,0,1024,0.03,9.113,8.841,885.767,
activation__rrelu,llm,float,100,full,100,0,0,0,1024,0.03,9.057,8.84,885.415,
activation__selu,llm,float,100,full,100,2.38419e-07,0.000137454,0,1024,0.03,9.03,8.946,896.296,
activation__sigmoid,llm,float,100,full,100,1.19209e-07,2.62154e-07,0,1024,0.03,9.25,8.985,900.295,
activation__softmax,llm,float,100,full,100,1.04308e-07,1.22106e-06,0,1024,0.03,9.201,8.981,900.158,
activation__swish,llm,float,100,full,100,9.53674e-07,3.15005e-07,0,1024,0.03,9.012,8.998,901.402,
activation__tanh,llm,float,100,full,100,1.19209e-07,2.38242e-07,0,1024,0.03,8.877,8.863,887.183,
activation__thresholded_relu,llm,float,100,full,100,0,0,0,1024,0.03,8.907,8.843,885.469,
dropout,llm,float,100,full,100,0,0,0,256,0.03,8.887,8.841,884.914,
elementwise_mult,llm,float,100,full,100,0,0,0,1024,0.03,9.165,8.832,884.618,
layernorm,llm,float,100,full,100,4.76837e-07,0.000287522,0,256,0.03,9.096,8.895,890.735,
matmul,llm,float,100,full,100,1.90735e-06,0.0169491,0,1024,0.04,8.984,8.844,886.142,
matrix_add,llm,float,100,full,100,0,0,0,256,0.03,8.974,8.834,884.447,
mha__rope0_dense,llm,float,100,full,100,0.000186443,0.0120485,0,2048,0.23,9.139,9.034,922.28,
mha__rope0_grouped,llm,float,100,full,100,0.000186443,0.0120485,0,2048,0.19,9.188,9.035,926.539,
mha__rope1_dense,llm,float,100,full,100,0.00015372,0.165836,0,2048,0.21,9.37,9.028,925.916,
mha__rope1_grouped,llm,float,100,full,100,0.00015372,0.165836,0,2048,0.19,9.22,9.035,923.046,
rmsnorm,llm,float,100,full,100,3.57628e-07,3.06558e-07,0,256,0.02,9.004,8.887,889.957,
swa__rope0,llm,float,100,full,100,5.36442e-06,0.0113043,0,256,0.03,8.986,8.899,891.724,
swa__rope1,llm,float,100,full,100,6.67572e-06,0.00524825,0,256,0.03,9.05,8.893,891.568,
