design,domain,datatype,n_inputs,mode,trials_passed,max_abs_err,max_rel_err,n_mismatch,n_total,prepare_s,trial0_s,mean_trial_s,total_s,notes
activation__gelu,llm,float,1000,exe,1000,4.76837e-07,0.999994,0,1024,0.03,9.573,0.087,294.199,
activation__leaky_relu,llm,float,1000,exe,1000,0,0,0,1024,0.03,9.115,0.048,238.594,
activation__prelu,llm,float,1000,exe,1000,0,0,0,1024,0.03,9.001,0.041,200.674,
activation__relu,llm,float,1000,exe,1000,0,0,0,1024,0.03,9.106,0.035,154.05,
activation__relu6,llm,float,1000,exe,1000,0,0,0,1024,0.03,9.312,0.029,122.477,
activation__rrelu,llm,float,1000,exe,1000,0,0,0,1024,0.03,9.223,0.025,89.245,
activation__selu,llm,float,1000,exe,1000,2.38419e-07,0.00440533,0,1024,0.02,9.661,0.154,490.779,
activation__sigmoid,llm,float,1000,exe,1000,1.19209e-07,2.64257e-07,0,1024,0.03,9.591,0.226,634.177,
activation__softmax,llm,float,1000,exe,1000,1.49012e-07,1.31947e-06,0,1024,0.04,9.649,0.224,638.68,
activation__swish,llm,float,1000,exe,1000,9.53674e-07,3.35676e-07,0,1024,0.03,10.38,0.223,640.587,
activation__tanh,llm,float,1000,exe,1000,1.19209e-07,2.38415e-07,0,1024,0.03,9.496,0.095,403.396,
activation__thresholded_relu,llm,float,1000,exe,1000,0,0,0,1024,0.03,9.116,0.029,170.408,
dropout,llm,float,1000,exe,1000,0,0,0,256,0.03,9.8,0.034,243.648,
elementwise_mult,llm,float,1000,exe,1000,0,0,0,1024,0.03,9.724,0.06,373.38,
layernorm,llm,float,1000,exe,1000,4.76837e-07,0.00155039,0,256,0.03,9.928,0.122,549.563,
matmul,llm,float,1000,exe,1000,2.38419e-06,0.0357143,0,1024,0.04,9.556,0.074,468.254,
matrix_add,llm,float,1000,exe,1000,0,0,0,256,0.03,9.131,0.072,488.658,
mha__rope0_dense,llm,float,1000,exe,1000,0.000238419,0.39558,0,2048,0.21,9.944,0.318,972.419,
mha__rope0_grouped,llm,float,1000,exe,1000,0.000238419,0.39558,0,2048,0.24,10.359,0.319,976.629,
mha__rope1_dense,llm,float,1000,exe,1000,0.000210762,1.89743,0,2048,0.22,9.431,0.32,973.686,
mha__rope1_grouped,llm,float,1000,exe,1000,0.000210762,1.89743,0,2048,0.18,9.207,0.323,976.408,
rmsnorm,llm,float,1000,exe,1000,3.57628e-07,3.17921e-07,0,256,0.02,9.019,0.128,599.638,
swa__rope0,llm,float,1000,exe,1000,8.46386e-06,0.0723275,0,256,0.03,9.312,0.176,671.121,
swa__rope1,llm,float,1000,exe,1000,7.75885e-06,0.0231193,0,256,0.03,8.921,0.176,655.007,
