design,domain,datatype,n_inputs,mode,trials_passed,max_abs_err,max_rel_err,n_mismatch,n_total,prepare_s,trial0_s,mean_trial_s,total_s,notes
activation__swish,llm,float,1,full,1,4.76837e-07,2.08761e-07,0,1024,0.03,9.288,0.0,9.288,
activation__tanh,llm,float,1,full,1,1.19209e-07,1.89402e-07,0,1024,0.03,9.215,0.0,9.215,
activation__thresholded_relu,llm,float,1,full,1,0,0,0,1024,0.03,9.003,0.0,9.003,
dropout,llm,float,1,full,1,0,0,0,256,0.03,8.956,0.0,8.956,
elementwise_mult,llm,float,1,full,1,0,0,0,1024,0.03,9.13,0.0,9.13,
layernorm,llm,float,1,full,1,2.38419e-07,2.92116e-05,0,256,0.03,8.93,0.0,8.93,
matmul,llm,float,1,full,1,9.53674e-07,0.000203749,0,1024,0.03,8.989,0.0,8.989,
matrix_add,llm,float,1,full,1,0,0,0,256,0.03,9.07,0.0,9.07,
mha__rope0_dense,llm,float,1,full,1,9.39369e-05,0.0082853,0,2048,0.23,9.213,0.0,9.213,
mha__rope0_grouped,llm,float,1,full,1,9.39369e-05,0.0082853,0,2048,0.2,9.165,0.0,9.165,
mha__rope1_dense,llm,float,1,full,1,5.43594e-05,0.00031372,0,2048,0.22,9.201,0.0,9.201,
mha__rope1_grouped,llm,float,1,full,1,5.43594e-05,0.00031372,0,2048,0.2,9.224,0.0,9.224,
rmsnorm,llm,float,1,full,1,2.38419e-07,1.87345e-07,0,256,0.03,8.997,0.0,8.997,
swa__rope0,llm,float,1,full,1,1.66893e-06,1.82036e-05,0,256,0.04,9.029,0.0,9.029,
swa__rope1,llm,float,1,full,1,2.02656e-06,3.99863e-05,0,256,0.03,8.982,0.0,8.982,
